__timestamp,Total Volume
2021-07-16,36867.17648215402
2021-07-17,285081.1163161392
2021-07-18,95032.15012168328
2021-07-19,102908.4784575727
2021-07-20,78477.44268265077
2021-07-21,47799.232900093986
2021-07-22,32234.96519460341
2021-07-23,25010.412383649982
2021-07-24,20872.841981149995
2021-07-25,9656.379717527001
2021-07-26,8401.18587362929
2021-07-27,9643.528363769998
2021-07-28,9921.677743928998
2021-07-29,11346.626423722002
2021-07-30,10718.392367189217
2021-07-31,10068.799195360003
2021-08-01,21884.024414376985
2021-08-02,32501.359158734
2021-08-03,35256.21619937999
2021-08-04,131550.6014566371
2021-08-05,143743.43373878405
2021-08-06,96396.44948297995
2021-08-07,0.0
2021-08-08,51936.98845867394
2021-08-09,40977.54317970398
2021-08-10,31239.108427114927
2021-08-11,0.0
2021-08-12,63610.49012330394
2021-08-13,48342.953287717566
2021-08-14,60735.199099175676
2021-08-15,53999.222659799976
2021-08-16,96680.21661400002
2021-08-17,33570.6708334679
2021-08-18,50317.46813920003
2021-08-19,51780.86963383902
2021-08-20,394834.80246714246
2021-08-21,700416.3543815294
2021-08-22,217630.38591420962
2021-08-23,215949.65000411042
2021-08-24,0.0
2021-08-25,992621.3639934056
2021-08-26,379281.07537076075
2021-08-27,238466.08163790443
2021-08-28,381139.0982633659
2021-08-29,439586.29251070955
2021-08-30,481514.58438562456
2021-08-31,383672.8682000221
2021-09-01,254030.82227574996
2021-09-02,207542.3087040001
2021-09-03,174482.25049222022
2021-09-04,116433.70369156492
2021-09-05,111138.121586838
2021-09-06,68734.65666549998
2021-09-07,97869.28105840198
2021-09-08,67167.27433415994
2021-09-09,68374.49528157996
2021-09-10,54459.23286096
2021-09-11,75042.77466788898
2021-09-12,74284.83123039998
2021-09-13,42194.18520744001
2021-09-14,33967.848366319995
2021-09-15,60929.05713289999
2021-09-16,0.0
2021-09-17,93747.616092195
2021-09-18,70889.80162978
2021-09-19,79731.18425786
2021-09-20,55036.43097147997
2021-09-21,37977.186846280005
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,29779.2258525
2021-09-25,30123.16789702
2021-09-26,39299.70362775
2021-09-27,35310.9278335
2021-09-28,28962.754833959993
2021-09-29,36638.034318049984
2021-09-30,20415.86074437
2021-10-01,28190.911840319997
2021-10-02,31813.89050336
2021-10-03,24313.861950720002
2021-10-04,42020.01302750499
2021-10-05,35602.819383072
2021-10-06,37174.90251911999
2021-10-07,37566.69276184001
2021-10-08,39032.05076138
2021-10-09,28015.680935940007
2021-10-10,0.0
2021-10-11,27787.61746555
2021-10-12,23170.755872809998
2021-10-13,17992.673046993994
2021-10-14,12553.398434199999
2021-10-15,14811.354396299996
2021-10-16,11976.563521425
2021-10-17,13539.37049392
2021-10-18,22789.167698120003
2021-10-19,17604.382124655003
2021-10-20,22581.939931374996
2021-10-21,17514.636467999997
2021-10-22,18862.130327179995
2021-10-23,14192.197515096
2021-10-24,13694.920365368002
2021-10-25,18847.439466011994
2021-10-26,36585.01472639999
2021-10-27,11778.271758848
2021-10-28,30558.574187000006
2021-10-29,33346.851832224
2021-10-30,26567.744548729996
2021-10-31,12053.596420499998
2021-11-01,41544.5102634
2021-11-02,21314.31597282
2021-11-03,16355.900237109998
2021-11-04,33749.054007002735
2021-11-05,24205.356913881005
2021-11-06,21203.851719095994
2021-11-07,23797.992260820003
2021-11-08,16266.6962832
2021-11-09,8194.599470891999
2021-11-10,39591.469940256
2021-11-11,6558.054810579249
2021-11-12,26977.232524349998
2021-11-13,13555.032142576003
2021-11-14,21409.880271
2021-11-15,18220.817711922
2021-11-16,51998.52558629001
2021-11-17,16981.3239976
2021-11-18,11695.681989875
2021-11-19,31355.4693
2021-11-20,81343.46296439995
2021-11-21,22163.6426067
2021-11-22,43663.9390065
2021-11-23,15228.417425399999
2021-11-24,82254.39425162994
2021-11-25,38506.07738216
2021-11-26,21125.377660560007
2021-11-27,19430.6043814
2021-11-28,17635.12632515
2021-11-29,22068.67666068813
2021-11-30,30294.75474954
2021-12-01,34486.79309424
2021-12-02,22304.28564201
2021-12-03,12301.396031485994
2021-12-04,9735.06003204
2021-12-05,11611.833883020001
2021-12-06,39690.71252764001
2021-12-07,23903.83428374999
2021-12-08,65512.22232581999
2021-12-09,9835.018934240004
2021-12-10,21644.20378232
2021-12-11,15805.631649887999
2021-12-12,27448.661776990008
2021-12-13,7244.0447002599985
2021-12-14,13921.150031100002
2021-12-15,23862.743947560008
2021-12-16,13097.412621599999
2021-12-17,68637.46436735998
2021-12-18,58923.448155999984
2021-12-19,31887.215722139405
2021-12-20,4718.33012056
2021-12-21,11529.958601700004
2021-12-22,2525.8487738000003
2021-12-23,10800.704642324998
2021-12-24,12110.161526739997
2021-12-25,8063.734098780002
2021-12-26,9188.980518155
2021-12-27,50957.80344588501
2021-12-28,12524.024601440002
2021-12-29,24719.601915744
2021-12-30,5025.790273119999
2021-12-31,7252.44932608
2022-01-01,8825.635238399998
2022-01-02,34067.177172876
2022-01-03,22214.397719180015
2022-01-04,4503.463377848
2022-01-05,28793.365288000005
2022-01-06,9372.603966182603
2022-01-07,4057.235212079999
2022-01-08,12248.742675120002
2022-01-09,20266.428883400007
2022-01-10,25775.89824039999
2022-01-11,9521.219288160002
2022-01-12,26401.784051785988
2022-01-13,22993.235197287995
2022-01-14,32295.189446135344
2022-01-15,18216.18548979
2022-01-16,18481.907814903836
2022-01-17,59903.59306854712
2022-01-18,8701.038885924005
2022-01-19,5896.787880479999
2022-01-20,15021.075386296001
2022-01-21,11075.418307641336
